packet_rx,packet_esp,pc_timestamp,pc_time_utc,gps_unix,gps_time_utc,time_source,bmp_temp_c,bmp_pressure_hpa,dht_temp_c,dht_humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch_deg,roll_deg,gps_lat,gps_lng,gps_alt_m,gps_sats,gps_fix,solenoid_state,solenoid_send_ok
1,3,1777485796.035,4/29/26 19:03,1777485795,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077399,27.1,16,1,,
2,4,1777485797.031,4/29/26 19:03,1777485796,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077399,27.1,16,1,,
3,5,1777485798.035,4/29/26 19:03,1777485797,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077399,27.1,16,1,,
4,6,1777485799.031,4/29/26 19:03,1777485798,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
5,7,1777485800.039,4/29/26 19:03,1777485799,4/29/26 18:03,gps,15.7,1020.0,15.9,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
6,8,1777485801.029,4/29/26 19:03,1777485800,4/29/26 18:03,gps,15.7,1020.0,15.9,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
7,9,1777485802.035,4/29/26 19:03,1777485801,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
8,10,1777485803.029,4/29/26 19:03,1777485802,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
9,11,1777485804.041,4/29/26 19:03,1777485803,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
10,12,1777485805.029,4/29/26 19:03,1777485804,4/29/26 18:03,gps,15.7,1020.0,15.9,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
11,13,1777485806.037,4/29/26 19:03,1777485805,4/29/26 18:03,gps,15.7,1020.0,15.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
12,14,1777485807.029,4/29/26 19:03,1777485806,4/29/26 18:03,gps,15.7,1020.0,15.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077398,27.2,16,1,,
13,15,1777485808.035,4/29/26 19:03,1777485807,4/29/26 18:03,gps,15.7,1020.0,15.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077397,27.3,16,1,,
14,16,1777485809.029,4/29/26 19:03,1777485808,4/29/26 18:03,gps,15.7,1020.0,15.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077397,27.3,16,1,,
15,17,1777485810.037,4/29/26 19:03,1777485809,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077397,27.3,16,1,,
16,18,1777485811.029,4/29/26 19:03,1777485810,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077397,27.3,16,1,,
17,19,1777485812.035,4/29/26 19:03,1777485811,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077397,27.3,16,1,,
18,20,1777485813.029,4/29/26 19:03,1777485812,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077396,27.3,16,1,,
19,21,1777485814.037,4/29/26 19:03,1777485813,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077396,27.3,16,1,,
20,22,1777485815.029,4/29/26 19:03,1777485814,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077396,27.3,16,1,,
21,23,1777485816.037,4/29/26 19:03,1777485815,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077395,27.3,16,1,,
22,24,1777485817.029,4/29/26 19:03,1777485816,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077395,27.3,16,1,,
23,25,1777485818.035,4/29/26 19:03,1777485817,4/29/26 18:03,gps,15.8,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077396,27.1,16,1,,
24,26,1777485819.029,4/29/26 19:03,1777485818,4/29/26 18:03,gps,15.7,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077394,27.2,16,1,,
25,27,1777485820.035,4/29/26 19:03,1777485819,4/29/26 18:03,gps,15.7,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077394,27.2,16,1,,
26,28,1777485821.029,4/29/26 19:03,1777485820,4/29/26 18:03,gps,15.7,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269402,-9.077393,27.2,16,1,,
27,29,1777485822.035,4/29/26 19:03,1777485821,4/29/26 18:03,gps,15.7,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077392,27.2,16,1,,
28,30,1777485823.029,4/29/26 19:03,1777485822,4/29/26 18:03,gps,15.7,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077391,27.2,16,1,,
29,31,1777485824.035,4/29/26 19:03,1777485823,4/29/26 18:03,gps,15.7,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.07739,27.2,16,1,,
30,32,1777485825.029,4/29/26 19:03,1777485824,4/29/26 18:03,gps,15.6,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077389,27.2,16,1,,
31,33,1777485826.035,4/29/26 19:03,1777485825,4/29/26 18:03,gps,15.6,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077388,27.2,16,1,,
32,34,1777485827.028,4/29/26 19:03,1777485826,4/29/26 18:03,gps,15.6,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077387,27.2,16,1,,
33,35,1777485828.035,4/29/26 19:03,1777485827,4/29/26 18:03,gps,15.6,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077386,27.2,16,1,,
34,36,1777485829.031,4/29/26 19:03,1777485828,4/29/26 18:03,gps,15.6,1020.0,15.9,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077386,27.2,16,1,,
35,37,1777485830.035,4/29/26 19:03,1777485829,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
36,38,1777485831.029,4/29/26 19:03,1777485830,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
37,39,1777485832.035,4/29/26 19:03,1777485831,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
38,40,1777485833.029,4/29/26 19:03,1777485832,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077384,27.2,16,1,,
39,41,1777485834.035,4/29/26 19:03,1777485833,4/29/26 18:03,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
40,42,1777485835.029,4/29/26 19:03,1777485834,4/29/26 18:03,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
41,43,1777485836.035,4/29/26 19:03,1777485835,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269405,-9.077385,27.2,16,1,,
42,44,1777485837.029,4/29/26 19:03,1777485836,4/29/26 18:03,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
43,45,1777485838.035,4/29/26 19:03,1777485837,4/29/26 18:03,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
44,46,1777485839.029,4/29/26 19:03,1777485838,4/29/26 18:03,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
45,47,1777485840.035,4/29/26 19:03,1777485839,4/29/26 18:03,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
46,48,1777485841.029,4/29/26 19:04,1777485840,4/29/26 18:04,gps,15.6,1020.0,15.9,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
47,49,1777485842.035,4/29/26 19:04,1777485841,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
48,50,1777485843.029,4/29/26 19:04,1777485842,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
49,51,1777485844.035,4/29/26 19:04,1777485843,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
50,52,1777485845.029,4/29/26 19:04,1777485844,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
51,53,1777485846.035,4/29/26 19:04,1777485845,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
52,54,1777485847.029,4/29/26 19:04,1777485846,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
53,55,1777485848.035,4/29/26 19:04,1777485847,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
54,56,1777485849.029,4/29/26 19:04,1777485848,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
55,57,1777485850.035,4/29/26 19:04,1777485849,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
56,58,1777485851.028,4/29/26 19:04,1777485850,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
57,59,1777485852.035,4/29/26 19:04,1777485851,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
58,60,1777485853.029,4/29/26 19:04,1777485852,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
59,61,1777485854.037,4/29/26 19:04,1777485853,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
60,62,1777485855.028,4/29/26 19:04,1777485854,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
61,63,1777485856.035,4/29/26 19:04,1777485855,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
62,64,1777485857.028,4/29/26 19:04,1777485856,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
63,65,1777485858.034,4/29/26 19:04,1777485857,4/29/26 18:04,gps,15.6,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.2,16,1,,
64,66,1777485859.029,4/29/26 19:04,1777485858,4/29/26 18:04,gps,15.5,1020.0,15.9,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.3,16,1,,
65,67,1777485860.034,4/29/26 19:04,1777485859,4/29/26 18:04,gps,15.5,1020.0,15.9,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.269409,-9.077385,27.3,16,1,,
